#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing),
,xorg-server,is the graphical server.,
,xorg-xwininfo,allows querying information about windows.,
,xorg-xinit,starts the graphical server.,
,ttf-linux-libertine,provides the sans and serif fonts for LARBS.,
A,lf-git,is an extensive terminal file manager that everyone likes.,
,xcompmgr,is for transparency and removing screen-tearing.,
,dosfstools,allows your computer to access dos-like filesystems.,
,libnotify,allows desktop notifications.,
,dunst,is a suckless notification system.,
,exfat-utils,allows management of FAT drives.,
,sxiv,is a minimalist image viewer.,
,xwallpaper,sets the wallpaper.,
,ffmpeg,can record and splice video and audio on the command line.,
,gnome-keyring,serves as the system keyring.,
A,gtk-theme-arc-gruvbox-git,gives the dark GTK theme used in LARBS.,
,vim,a basic text editor,
,vlc,is the patrician's choice video player.,
,man-db,lets you read man pages of programs.,
A,apple-music-electron,is an apple music app,
A,reaper-bin,is a daw that has decent functionality,
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features.",
,firefox,"is a preferred browser, with my custom settings",
,noto-fonts-emoji,is an emoji font.,
,ntfs-3g,allows accessing NTFS partitions.,
,pulseaudio-alsa,is the audio system.,
,pavucontrol,is an audio controller.,
A,sc-im,is an Excel-like terminal spreadsheet manager.,
,scrot,can take quick screenshots at your request.,
,abook,is an offline addressbook usable by neomutt.,
,unclutter,hides an inactive mouse.,
,unrar,extracts rar's.,
,unzip,unzips zips.,
,lynx,is a terminal browser.,
,xcape,gives the special escape/super mappings of LARBS.,
,xclip,allows for copying and pasting from the command line.,
,xdotool,provides window action utilities on the command line.,
,zathura,is a pdf viewer with vim-like bindings.,
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura.,
,poppler,manipulates .pdfs and gives .pdf previews and other .pdf functions.,
,highlight,can highlight code output.,
,xorg-xbacklight,enables changing screen brightness levels.,
A,zsh-fast-syntax-highlighting,provides syntax highlighting in the shell.,
G,https://github.com/jobiniah/slstatus.git,serves as the modular status bar.,
G,https://git.suckless.org/dmenu,runs commands and provides a UI for selection.,
G,https://github.com/lukesmithxyz/st.git,is my custom build of suckless's terminal emulator.,
G,https://github.com/jobiniah/dwm.git,is the window manager.,
A,mutt-wizard-git,is a light-weight terminal-based email system.,
,slock,"allows you to lock your computer, and quickly unlock with your password.",
,htop,is an easy way to monitor system resources,
,texlive-most,is a basic latex packageset for arch,
,texlive-lang,is an extension of the arch latex packages,
,code,is a preferred coding tool,
A,onedrive-abraunegg,is how I sync my onedrive,
,network-manager-applet,is how I connect to the internet,
,discord,is how I connect with friends,
,python-pywal,,
,,,
